waste,unit,geo,time_period,obs_value
Packaging,RT,EU27_2020,2009,62.6
Packaging,RT,EU27_2020,2010,64.0
Packaging,RT,EU27_2020,2011,64.2
Packaging,RT,EU27_2020,2012,65.2
Packaging,RT,EU27_2020,2013,65.4
Packaging,RT,EU27_2020,2014,66.5
Packaging,RT,EU27_2020,2015,66.6
Packaging,RT,EU27_2020,2016,67.6
Packaging,RT,EU27_2020,2017,67.5
Packaging,RT,EU27_2020,2018,65.6
Packaging,RT,EU27_2020,2019,64.6
Packaging,RT,EU27_2020,2020,64.0
Paper and cardboard,RT,EU27_2020,2009,83.3
Paper and cardboard,RT,EU27_2020,2010,83.8
Paper and cardboard,RT,EU27_2020,2011,82.7
Paper and cardboard,RT,EU27_2020,2012,83.5
Paper and cardboard,RT,EU27_2020,2013,84.0
Paper and cardboard,RT,EU27_2020,2014,84.1
Paper and cardboard,RT,EU27_2020,2015,83.9
Paper and cardboard,RT,EU27_2020,2016,85.4
Paper and cardboard,RT,EU27_2020,2017,85.4
Paper and cardboard,RT,EU27_2020,2018,84.2
Paper and cardboard,RT,EU27_2020,2019,82.1
Paper and cardboard,RT,EU27_2020,2020,81.5
Plastic,RT,EU27_2020,2009,33.5
Plastic,RT,EU27_2020,2010,34.1
Plastic,RT,EU27_2020,2011,35.6
Plastic,RT,EU27_2020,2012,37.0
Plastic,RT,EU27_2020,2013,37.5
Plastic,RT,EU27_2020,2014,39.0
Plastic,RT,EU27_2020,2015,40.5
Plastic,RT,EU27_2020,2016,42.4
Plastic,RT,EU27_2020,2017,41.7
Plastic,RT,EU27_2020,2018,41.4
Plastic,RT,EU27_2020,2019,41.1
Plastic,RT,EU27_2020,2020,37.6
Wooden,RT,EU27_2020,2009,33.6
Wooden,RT,EU27_2020,2010,35.3
Wooden,RT,EU27_2020,2011,36.6
Wooden,RT,EU27_2020,2012,37.5
Wooden,RT,EU27_2020,2013,35.2
Wooden,RT,EU27_2020,2014,39.3
Wooden,RT,EU27_2020,2015,41.4
Wooden,RT,EU27_2020,2016,40.7
Wooden,RT,EU27_2020,2017,41.2
Wooden,RT,EU27_2020,2018,29.3
Wooden,RT,EU27_2020,2019,31.1
Wooden,RT,EU27_2020,2020,31.9
Metallic,RT,EU27_2020,2009,72.6
Metallic,RT,EU27_2020,2010,74.6
Metallic,RT,EU27_2020,2011,75.7
Metallic,RT,EU27_2020,2012,76.6
Metallic,RT,EU27_2020,2013,77.8
Metallic,RT,EU27_2020,2014,78.5
Metallic,RT,EU27_2020,2015,79.3
Metallic,RT,EU27_2020,2016,80.2
Metallic,RT,EU27_2020,2017,80.6
Metallic,RT,EU27_2020,2018,82.9
Metallic,RT,EU27_2020,2019,77.5
Metallic,RT,EU27_2020,2020,75.7
Glass,RT,EU27_2020,2009,68.8
Glass,RT,EU27_2020,2010,71.2
Glass,RT,EU27_2020,2011,72.3
Glass,RT,EU27_2020,2012,73.1
Glass,RT,EU27_2020,2013,73.4
Glass,RT,EU27_2020,2014,75.3
Glass,RT,EU27_2020,2015,74.2
Glass,RT,EU27_2020,2016,75.3
Glass,RT,EU27_2020,2017,75.8
Glass,RT,EU27_2020,2018,75.8
Glass,RT,EU27_2020,2019,75.6
Glass,RT,EU27_2020,2020,75.9
