DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2009,66.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2010,66.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2011,65.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2012,65.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2013,66.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2014,66.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2015,67.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2016,66.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2017,65.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2018,65.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2019,65.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,AT,2020,63.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2009,79.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2010,79.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2011,80.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2012,80.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2013,78.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2014,81.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2015,81.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2016,81.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2017,83.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2018,85.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2019,83.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BE,2020,79.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2009,45.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2010,61.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2011,65.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2012,66.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2013,65.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2014,62,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2015,64.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2016,63.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2017,65.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2018,60.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,BG,2019,61.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2009,42.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2010,50,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2011,52,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2012,55.3,e
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2013,56.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2014,58.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2015,59.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2016,64.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2017,66.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2018,70.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2019,66.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CY,2020,59.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2009,68.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2010,70,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2011,69.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2012,69.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2013,69.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2014,73,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2015,74.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2016,75.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2017,72.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2018,69.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2019,71.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,CZ,2020,67.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2009,73.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2010,72.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2011,71.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2012,71.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2013,71.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2014,71.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2015,69.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2016,70.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2017,69.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2018,68.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2019,63.2,b
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DE,2020,68.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2009,84,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2010,84,e
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2011,54.3,be
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2012,61.6,e
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2013,69.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2014,69.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2015,73.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2016,79,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2017,71.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2018,70.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2019,70.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,DK,2020,64,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2009,57.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2010,56.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2011,62.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2012,61.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2013,58.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2014,60.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2015,59,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2016,56,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2017,53.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2018,60.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2019,66.2,b
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EE,2020,71.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2009,52.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2010,58.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2011,62.1,e
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2012,58.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2013,52.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2014,53.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2015,60.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2016,66.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2017,68.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2018,63.6,e
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EL,2019,60.1,e
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2009,60.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2010,61.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2011,63.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2012,65.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2013,66.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2014,68.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2015,68.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2016,70.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2017,68.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2018,68.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2019,69.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,ES,2020,68.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2009,62.6,s
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2010,64,s
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2011,64.2,s
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2012,65.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2013,65.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2014,66.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2015,66.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,EU27_2020,2016,67.6,
