waste,unit,geo,time_period,obs_value
Packaging,RT,AT,2009,66.9
Packaging,RT,AT,2010,66.6
Packaging,RT,AT,2011,65.8
Packaging,RT,AT,2012,65.9
Packaging,RT,AT,2013,66.6
Packaging,RT,AT,2014,66.6
Packaging,RT,AT,2015,67.1
Packaging,RT,AT,2016,66.8
Packaging,RT,AT,2017,65.6
Packaging,RT,AT,2018,65.5
Packaging,RT,AT,2019,65.4
Packaging,RT,AT,2020,63.7
Packaging,RT,BE,2009,79.1
Packaging,RT,BE,2010,79.8
Packaging,RT,BE,2011,80.2
Packaging,RT,BE,2012,80.3
Packaging,RT,BE,2013,78.7
Packaging,RT,BE,2014,81.3
Packaging,RT,BE,2015,81.5
Packaging,RT,BE,2016,81.9
Packaging,RT,BE,2017,83.8
Packaging,RT,BE,2018,85.3
Packaging,RT,BE,2019,83.5
Packaging,RT,BE,2020,79.7
Packaging,RT,BG,2009,45.9
Packaging,RT,BG,2010,61.6
Packaging,RT,BG,2011,65.1
Packaging,RT,BG,2012,66.5
Packaging,RT,BG,2013,65.7
Packaging,RT,BG,2014,62.0
Packaging,RT,BG,2015,64.1
Packaging,RT,BG,2016,63.8
Packaging,RT,BG,2017,65.6
Packaging,RT,BG,2018,60.4
Packaging,RT,BG,2019,61.2
Packaging,RT,CY,2009,42.2
Packaging,RT,CY,2010,50.0
Packaging,RT,CY,2011,52.0
Packaging,RT,CY,2012,55.3
Packaging,RT,CY,2013,56.6
Packaging,RT,CY,2014,58.7
Packaging,RT,CY,2015,59.8
Packaging,RT,CY,2016,64.6
Packaging,RT,CY,2017,66.2
Packaging,RT,CY,2018,70.2
Packaging,RT,CY,2019,66.8
Packaging,RT,CY,2020,59.9
Packaging,RT,CZ,2009,68.8
Packaging,RT,CZ,2010,70.0
Packaging,RT,CZ,2011,69.7
Packaging,RT,CZ,2012,69.9
Packaging,RT,CZ,2013,69.9
Packaging,RT,CZ,2014,73.0
Packaging,RT,CZ,2015,74.3
Packaging,RT,CZ,2016,75.3
Packaging,RT,CZ,2017,72.3
Packaging,RT,CZ,2018,69.6
Packaging,RT,CZ,2019,71.2
Packaging,RT,CZ,2020,67.9
Packaging,RT,DE,2009,73.5
Packaging,RT,DE,2010,72.7
Packaging,RT,DE,2011,71.8
Packaging,RT,DE,2012,71.3
Packaging,RT,DE,2013,71.8
Packaging,RT,DE,2014,71.4
Packaging,RT,DE,2015,69.3
Packaging,RT,DE,2016,70.7
Packaging,RT,DE,2017,69.9
Packaging,RT,DE,2018,68.5
Packaging,RT,DE,2019,63.2
Packaging,RT,DE,2020,68.1
Packaging,RT,DK,2009,84.0
Packaging,RT,DK,2010,84.0
Packaging,RT,DK,2011,54.3
Packaging,RT,DK,2012,61.6
Packaging,RT,DK,2013,69.8
Packaging,RT,DK,2014,69.8
Packaging,RT,DK,2015,73.9
Packaging,RT,DK,2016,79.0
Packaging,RT,DK,2017,71.5
Packaging,RT,DK,2018,70.1
Packaging,RT,DK,2019,70.4
Packaging,RT,DK,2020,64.0
Packaging,RT,EE,2009,57.2
Packaging,RT,EE,2010,56.1
Packaging,RT,EE,2011,62.9
Packaging,RT,EE,2012,61.3
Packaging,RT,EE,2013,58.4
Packaging,RT,EE,2014,60.3
Packaging,RT,EE,2015,59.0
Packaging,RT,EE,2016,56.0
Packaging,RT,EE,2017,53.5
Packaging,RT,EE,2018,60.4
Packaging,RT,EE,2019,66.2
Packaging,RT,EE,2020,71.4
Packaging,RT,EL,2009,52.3
Packaging,RT,EL,2010,58.7
Packaging,RT,EL,2011,62.1
Packaging,RT,EL,2012,58.6
Packaging,RT,EL,2013,52.4
Packaging,RT,EL,2014,53.8
Packaging,RT,EL,2015,60.3
Packaging,RT,EL,2016,66.1
Packaging,RT,EL,2017,68.6
Packaging,RT,EL,2018,63.6
Packaging,RT,EL,2019,60.1
Packaging,RT,ES,2009,60.3
Packaging,RT,ES,2010,61.9
Packaging,RT,ES,2011,63.9
Packaging,RT,ES,2012,65.5
Packaging,RT,ES,2013,66.6
Packaging,RT,ES,2014,68.7
Packaging,RT,ES,2015,68.4
Packaging,RT,ES,2016,70.3
Packaging,RT,ES,2017,68.5
Packaging,RT,ES,2018,68.8
Packaging,RT,ES,2019,69.6
Packaging,RT,ES,2020,68.3
Packaging,RT,EU27_2020,2009,62.6
Packaging,RT,EU27_2020,2010,64.0
Packaging,RT,EU27_2020,2011,64.2
Packaging,RT,EU27_2020,2012,65.2
Packaging,RT,EU27_2020,2013,65.4
Packaging,RT,EU27_2020,2014,66.5
Packaging,RT,EU27_2020,2015,66.6
Packaging,RT,EU27_2020,2016,67.6
Packaging,RT,EU27_2020,2017,67.5
Packaging,RT,EU27_2020,2018,65.6
Packaging,RT,EU27_2020,2019,64.6
Packaging,RT,EU27_2020,2020,64.0
Packaging,RT,FI,2009,55.5
Packaging,RT,FI,2010,55.4
Packaging,RT,FI,2011,58.7
Packaging,RT,FI,2012,59.3
Packaging,RT,FI,2013,58.0
Packaging,RT,FI,2014,57.4
Packaging,RT,FI,2015,60.9
Packaging,RT,FI,2016,64.7
Packaging,RT,FI,2017,65.2
Packaging,RT,FI,2018,70.2
Packaging,RT,FI,2019,70.6
Packaging,RT,FI,2020,73.2
Packaging,RT,FR,2009,56.4
Packaging,RT,FR,2010,61.1
Packaging,RT,FR,2011,61.3
Packaging,RT,FR,2012,64.9
Packaging,RT,FR,2013,66.4
Packaging,RT,FR,2014,65.2
Packaging,RT,FR,2015,65.5
Packaging,RT,FR,2016,66.0
Packaging,RT,FR,2017,68.1
Packaging,RT,FR,2018,63.5
Packaging,RT,FR,2019,65.6
Packaging,RT,FR,2020,60.3
Packaging,RT,HR,2012,59.7
Packaging,RT,HR,2013,58.8
Packaging,RT,HR,2014,52.7
Packaging,RT,HR,2015,60.1
Packaging,RT,HR,2016,54.7
Packaging,RT,HR,2017,53.3
Packaging,RT,HR,2018,58.4
Packaging,RT,HR,2019,48.9
Packaging,RT,HR,2020,54.2
Packaging,RT,HU,2009,51.1
Packaging,RT,HU,2010,58.7
Packaging,RT,HU,2011,59.3
Packaging,RT,HU,2012,48.5
Packaging,RT,HU,2013,49.2
Packaging,RT,HU,2014,48.4
Packaging,RT,HU,2015,50.1
Packaging,RT,HU,2016,49.7
Packaging,RT,HU,2017,49.7
Packaging,RT,HU,2018,46.1
Packaging,RT,HU,2019,47.0
Packaging,RT,HU,2020,52.4
Packaging,RT,IE,2009,64.9
Packaging,RT,IE,2010,66.2
Packaging,RT,IE,2011,70.9
Packaging,RT,IE,2012,74.0
Packaging,RT,IE,2013,70.2
Packaging,RT,IE,2014,68.3
Packaging,RT,IE,2015,67.5
Packaging,RT,IE,2016,67.0
Packaging,RT,IE,2017,65.6
Packaging,RT,IE,2018,63.9
Packaging,RT,IE,2019,62.5
Packaging,RT,IE,2020,62.4
Packaging,RT,IS,2010,33.9
Packaging,RT,IS,2011,44.0
Packaging,RT,IS,2012,40.7
Packaging,RT,IS,2013,42.9
Packaging,RT,IS,2014,42.8
Packaging,RT,IS,2015,47.4
Packaging,RT,IS,2016,47.2
Packaging,RT,IS,2017,44.4
Packaging,RT,IS,2018,51.2
Packaging,RT,IS,2019,46.3
Packaging,RT,IS,2020,57.0
Packaging,RT,IT,2009,64.0
Packaging,RT,IT,2010,64.4
Packaging,RT,IT,2011,64.5
Packaging,RT,IT,2012,66.6
Packaging,RT,IT,2013,66.7
Packaging,RT,IT,2014,65.4
Packaging,RT,IT,2015,66.8
Packaging,RT,IT,2016,66.9
Packaging,RT,IT,2017,67.1
Packaging,RT,IT,2018,68.3
Packaging,RT,IT,2019,69.6
Packaging,RT,IT,2020,72.8
Packaging,RT,LI,2009,50.0
Packaging,RT,LI,2010,45.9
Packaging,RT,LI,2011,48.7
Packaging,RT,LI,2012,44.3
Packaging,RT,LI,2013,50.3
Packaging,RT,LI,2014,51.9
Packaging,RT,LI,2015,66.1
Packaging,RT,LI,2016,65.8
Packaging,RT,LI,2017,66.7
Packaging,RT,LI,2018,68.0
Packaging,RT,LI,2019,70.0
Packaging,RT,LI,2020,72.1
Packaging,RT,LT,2009,57.7
Packaging,RT,LT,2010,60.4
Packaging,RT,LT,2011,62.2
Packaging,RT,LT,2012,62.2
Packaging,RT,LT,2013,53.5
Packaging,RT,LT,2014,57.7
Packaging,RT,LT,2015,59.8
Packaging,RT,LT,2016,69.5
Packaging,RT,LT,2017,61.8
Packaging,RT,LT,2018,60.7
Packaging,RT,LT,2019,61.9
Packaging,RT,LT,2020,61.8
Packaging,RT,LU,2009,61.0
Packaging,RT,LU,2010,66.0
Packaging,RT,LU,2011,66.0
Packaging,RT,LU,2012,62.5
Packaging,RT,LU,2013,62.8
Packaging,RT,LU,2014,66.0
Packaging,RT,LU,2015,70.0
Packaging,RT,LU,2016,70.3
Packaging,RT,LU,2017,69.7
Packaging,RT,LU,2018,70.9
Packaging,RT,LU,2019,71.5
Packaging,RT,LU,2020,71.9
Packaging,RT,LV,2009,44.9
Packaging,RT,LV,2010,48.9
Packaging,RT,LV,2011,50.9
Packaging,RT,LV,2012,51.1
Packaging,RT,LV,2013,51.0
Packaging,RT,LV,2014,54.9
Packaging,RT,LV,2015,53.9
Packaging,RT,LV,2016,57.7
Packaging,RT,LV,2017,58.7
Packaging,RT,LV,2018,55.8
Packaging,RT,LV,2019,62.4
Packaging,RT,LV,2020,61.4
Packaging,RT,MT,2009,36.0
Packaging,RT,MT,2010,28.5
Packaging,RT,MT,2011,42.3
Packaging,RT,MT,2012,46.6
Packaging,RT,MT,2013,38.1
Packaging,RT,MT,2014,41.1
Packaging,RT,MT,2015,37.1
Packaging,RT,MT,2016,39.7
Packaging,RT,MT,2017,35.6
Packaging,RT,MT,2018,35.7
Packaging,RT,MT,2019,33.7
Packaging,RT,MT,2020,40.0
Packaging,RT,NL,2009,74.9
Packaging,RT,NL,2010,73.9
Packaging,RT,NL,2011,71.9
Packaging,RT,NL,2012,69.3
Packaging,RT,NL,2013,70.4
Packaging,RT,NL,2014,70.5
Packaging,RT,NL,2015,71.7
Packaging,RT,NL,2016,72.6
Packaging,RT,NL,2017,78.1
Packaging,RT,NL,2018,79.4
Packaging,RT,NL,2019,80.7
Packaging,RT,NL,2020,76.5
Packaging,RT,NO,2009,53.1
Packaging,RT,NO,2010,56.7
Packaging,RT,NO,2011,57.5
Packaging,RT,NO,2012,55.9
Packaging,RT,NO,2013,54.5
Packaging,RT,NO,2014,55.7
Packaging,RT,NO,2015,55.1
Packaging,RT,NO,2016,56.3
Packaging,RT,NO,2017,54.5
Packaging,RT,NO,2018,52.9
Packaging,RT,NO,2019,53.9
Packaging,RT,NO,2020,52.5
Packaging,RT,PL,2009,36.8
Packaging,RT,PL,2010,38.9
Packaging,RT,PL,2011,41.2
Packaging,RT,PL,2012,41.4
Packaging,RT,PL,2013,36.1
Packaging,RT,PL,2014,55.4
Packaging,RT,PL,2015,57.6
Packaging,RT,PL,2016,58.0
Packaging,RT,PL,2017,56.7
Packaging,RT,PL,2018,58.7
Packaging,RT,PL,2019,55.5
Packaging,RT,PT,2009,59.9
Packaging,RT,PT,2010,55.5
Packaging,RT,PT,2011,58.4
Packaging,RT,PT,2012,56.9
Packaging,RT,PT,2013,61.5
Packaging,RT,PT,2014,61.0
Packaging,RT,PT,2015,57.1
Packaging,RT,PT,2016,60.9
Packaging,RT,PT,2017,55.3
Packaging,RT,PT,2018,57.9
Packaging,RT,PT,2019,62.8
Packaging,RT,PT,2020,59.5
Packaging,RT,RO,2009,40.5
Packaging,RT,RO,2010,43.4
Packaging,RT,RO,2011,50.0
Packaging,RT,RO,2012,56.8
Packaging,RT,RO,2013,52.8
Packaging,RT,RO,2014,54.8
Packaging,RT,RO,2015,55.9
Packaging,RT,RO,2016,60.4
Packaging,RT,RO,2017,60.4
Packaging,RT,RO,2018,57.9
Packaging,RT,RO,2019,44.6
Packaging,RT,RO,2020,39.9
Packaging,RT,SE,2009,58.9
Packaging,RT,SE,2010,69.2
Packaging,RT,SE,2011,71.5
Packaging,RT,SE,2012,69.6
Packaging,RT,SE,2013,71.9
Packaging,RT,SE,2014,70.5
Packaging,RT,SE,2015,71.8
Packaging,RT,SE,2016,68.2
Packaging,RT,SE,2017,71.7
Packaging,RT,SE,2018,65.0
Packaging,RT,SE,2019,63.6
Packaging,RT,SE,2020,60.9
Packaging,RT,SI,2009,49.6
Packaging,RT,SI,2010,61.0
Packaging,RT,SI,2011,63.6
Packaging,RT,SI,2012,66.9
Packaging,RT,SI,2013,69.0
Packaging,RT,SI,2014,70.4
Packaging,RT,SI,2015,67.0
Packaging,RT,SI,2016,69.4
Packaging,RT,SI,2017,70.1
Packaging,RT,SI,2018,68.0
Packaging,RT,SI,2019,67.1
Packaging,RT,SI,2020,67.9
Packaging,RT,SK,2009,59.9
Packaging,RT,SK,2010,45.7
Packaging,RT,SK,2011,62.4
Packaging,RT,SK,2012,68.1
Packaging,RT,SK,2013,65.9
Packaging,RT,SK,2014,65.4
Packaging,RT,SK,2015,64.3
Packaging,RT,SK,2016,65.8
Packaging,RT,SK,2017,65.7
Packaging,RT,SK,2018,66.6
Packaging,RT,SK,2019,67.5
Packaging,RT,SK,2020,70.8
Packaging,RT,UK,2009,61.8
Packaging,RT,UK,2010,60.7
Packaging,RT,UK,2011,60.8
Packaging,RT,UK,2012,61.4
Packaging,RT,UK,2013,64.6
Packaging,RT,UK,2014,59.2
Packaging,RT,UK,2015,60.6
Packaging,RT,UK,2016,64.7
Packaging,RT,UK,2017,63.9
Packaging,RT,UK,2018,62.1
Paper and cardboard,RT,AT,2009,84.8
Paper and cardboard,RT,AT,2010,84.5
Paper and cardboard,RT,AT,2011,84.5
Paper and cardboard,RT,AT,2012,84.9
Paper and cardboard,RT,AT,2013,84.3
Paper and cardboard,RT,AT,2014,84.9
Paper and cardboard,RT,AT,2015,84.9
Paper and cardboard,RT,AT,2016,84.9
Paper and cardboard,RT,AT,2017,83.5
Paper and cardboard,RT,AT,2018,84.2
Paper and cardboard,RT,AT,2019,84.7
Paper and cardboard,RT,AT,2020,80.0
Paper and cardboard,RT,BE,2009,88.0
Paper and cardboard,RT,BE,2010,89.8
Paper and cardboard,RT,BE,2011,90.4
Paper and cardboard,RT,BE,2012,89.8
Paper and cardboard,RT,BE,2013,89.1
Paper and cardboard,RT,BE,2014,90.6
Paper and cardboard,RT,BE,2015,90.7
Paper and cardboard,RT,BE,2016,89.4
Paper and cardboard,RT,BE,2017,92.9
Paper and cardboard,RT,BE,2018,95.6
Paper and cardboard,RT,BE,2019,92.3
Paper and cardboard,RT,BE,2020,89.4
Paper and cardboard,RT,BG,2009,67.3
Paper and cardboard,RT,BG,2010,81.9
Paper and cardboard,RT,BG,2011,98.1
Paper and cardboard,RT,BG,2012,94.2
Paper and cardboard,RT,BG,2013,88.8
Paper and cardboard,RT,BG,2014,70.1
Paper and cardboard,RT,BG,2015,78.7
Paper and cardboard,RT,BG,2016,80.1
Paper and cardboard,RT,BG,2017,79.6
Paper and cardboard,RT,BG,2018,63.3
Paper and cardboard,RT,BG,2019,93.9
Paper and cardboard,RT,CY,2009,78.9
Paper and cardboard,RT,CY,2010,83.4
Paper and cardboard,RT,CY,2011,88.3
Paper and cardboard,RT,CY,2012,88.9
Paper and cardboard,RT,CY,2013,97.3
Paper and cardboard,RT,CY,2014,96.7
Paper and cardboard,RT,CY,2015,96.6
Paper and cardboard,RT,CY,2016,99.7
Paper and cardboard,RT,CY,2017,93.3
Paper and cardboard,RT,CY,2018,97.9
Paper and cardboard,RT,CY,2019,99.5
Paper and cardboard,RT,CY,2020,82.9
Paper and cardboard,RT,CZ,2009,93.9
Paper and cardboard,RT,CZ,2010,93.5
Paper and cardboard,RT,CZ,2011,90.5
Paper and cardboard,RT,CZ,2012,85.9
Paper and cardboard,RT,CZ,2013,87.6
Paper and cardboard,RT,CZ,2014,88.6
Paper and cardboard,RT,CZ,2015,90.1
Paper and cardboard,RT,CZ,2016,93.7
Paper and cardboard,RT,CZ,2017,90.2
Paper and cardboard,RT,CZ,2018,85.6
Paper and cardboard,RT,CZ,2019,88.2
Paper and cardboard,RT,CZ,2020,87.5
Paper and cardboard,RT,DE,2009,91.1
Paper and cardboard,RT,DE,2010,90.2
Paper and cardboard,RT,DE,2011,88.0
Paper and cardboard,RT,DE,2012,87.6
Paper and cardboard,RT,DE,2013,88.2
Paper and cardboard,RT,DE,2014,87.3
Paper and cardboard,RT,DE,2015,85.7
Paper and cardboard,RT,DE,2016,88.7
Paper and cardboard,RT,DE,2017,87.6
Paper and cardboard,RT,DE,2018,86.8
Paper and cardboard,RT,DE,2019,80.6
Paper and cardboard,RT,DE,2020,84.2
Paper and cardboard,RT,DK,2009,93.5
Paper and cardboard,RT,DK,2010,93.5
Paper and cardboard,RT,DK,2011,63.8
Paper and cardboard,RT,DK,2012,76.5
Paper and cardboard,RT,DK,2013,85.4
Paper and cardboard,RT,DK,2014,91.8
Paper and cardboard,RT,DK,2015,95.3
Paper and cardboard,RT,DK,2016,97.7
Paper and cardboard,RT,DK,2017,81.9
Paper and cardboard,RT,DK,2018,99.7
Paper and cardboard,RT,DK,2019,99.7
Paper and cardboard,RT,DK,2020,69.3
Paper and cardboard,RT,EE,2009,69.1
Paper and cardboard,RT,EE,2010,82.9
Paper and cardboard,RT,EE,2011,79.1
Paper and cardboard,RT,EE,2012,77.2
Paper and cardboard,RT,EE,2013,75.5
Paper and cardboard,RT,EE,2014,74.2
Paper and cardboard,RT,EE,2015,76.3
Paper and cardboard,RT,EE,2016,79.0
Paper and cardboard,RT,EE,2017,76.9
Paper and cardboard,RT,EE,2018,86.1
Paper and cardboard,RT,EE,2019,85.9
Paper and cardboard,RT,EE,2020,93.3
Paper and cardboard,RT,EL,2009,83.0
Paper and cardboard,RT,EL,2010,94.1
Paper and cardboard,RT,EL,2011,91.9
Paper and cardboard,RT,EL,2012,83.6
Paper and cardboard,RT,EL,2013,79.7
Paper and cardboard,RT,EL,2014,79.1
Paper and cardboard,RT,EL,2015,89.6
Paper and cardboard,RT,EL,2016,98.5
Paper and cardboard,RT,EL,2017,99.5
Paper and cardboard,RT,EL,2018,91.5
Paper and cardboard,RT,EL,2019,84.6
Paper and cardboard,RT,ES,2009,76.7
Paper and cardboard,RT,ES,2010,76.1
Paper and cardboard,RT,ES,2011,76.6
Paper and cardboard,RT,ES,2012,77.8
Paper and cardboard,RT,ES,2013,75.0
Paper and cardboard,RT,ES,2014,78.2
Paper and cardboard,RT,ES,2015,76.9
Paper and cardboard,RT,ES,2016,79.7
Paper and cardboard,RT,ES,2017,74.6
Paper and cardboard,RT,ES,2018,72.5
Paper and cardboard,RT,ES,2019,72.9
Paper and cardboard,RT,ES,2020,71.8
Paper and cardboard,RT,EU27_2020,2009,83.3
Paper and cardboard,RT,EU27_2020,2010,83.8
Paper and cardboard,RT,EU27_2020,2011,82.7
Paper and cardboard,RT,EU27_2020,2012,83.5
Paper and cardboard,RT,EU27_2020,2013,84.0
Paper and cardboard,RT,EU27_2020,2014,84.1
Paper and cardboard,RT,EU27_2020,2015,83.9
Paper and cardboard,RT,EU27_2020,2016,85.4
Paper and cardboard,RT,EU27_2020,2017,85.4
Paper and cardboard,RT,EU27_2020,2018,84.2
Paper and cardboard,RT,EU27_2020,2019,82.1
Paper and cardboard,RT,EU27_2020,2020,81.5
Paper and cardboard,RT,FI,2009,94.7
